"","epochs","hidden","hidden_dropout_ratios","input_dropout_ratio","l1","l2","stopping_tolerance","model_ids","logloss"
"85","3004.6736420766733","[30, 3]","[0.3, 0.3]","0.15","1.0E-8","1.0E-8","0.04","dl_grid_model_34","0.08445998422208963"
"86","3004.6736420766733","[30, 3]","[0.3, 0.3]","0.2","1.0E-6","1.0E-8","0.04","dl_grid_model_47","0.08476210969946209"
"87","2004.6914348559217","[25, 3]","[0.3, 0.3]","0.1","1.0E-6","1.0E-7","0.03","dl_grid_model_115","0.08513618814383088"
"88","2004.6914348559217","[30, 3]","[0.3, 0.3]","0.15","1.0E-8","1.0E-8","0.03","dl_grid_model_63","0.08570543745444945"
"89","2004.6914348559217","[25, 3]","[0.3, 0.3]","0.15","1.0E-7","1.0E-6","0.04","dl_grid_model_124","0.08601270166718354"
"90","1788.5281913429183","[30, 5]","[0.4, 0.4]","0.2","1.0E-6","1.0E-7","0.04","dl_grid_model_129","0.08672758329952163"
"91","2004.6914348559217","[30, 3]","[0.3, 0.3]","0.1","1.0E-6","1.0E-8","0.02","dl_grid_model_87","0.08710366210545056"
"92","2004.6914348559217","[30, 3]","[0.3, 0.3]","0.1","1.0E-7","1.0E-8","0.02","dl_grid_model_113","0.08746647985989456"
"93","3004.6736420766733","[25, 3]","[0.3, 0.3]","0.2","1.0E-7","1.0E-8","0.03","dl_grid_model_40","0.08759832620175313"
"94","3004.6736420766733","[25, 3]","[0.3, 0.3]","0.2","1.0E-7","1.0E-6","0.02","dl_grid_model_48","0.08796710773910268"
"95","3004.6736420766733","[25, 3]","[0.4, 0.4]","0.15","1.0E-8","1.0E-7","0.03","dl_grid_model_116","0.08917409757907223"
"96","2004.6914348559217","[25, 3]","[0.3, 0.3]","0.15","1.0E-8","1.0E-6","0.03","dl_grid_model_100","0.08944015398143187"
"97","3004.6736420766733","[30, 3]","[0.3, 0.3]","0.1","1.0E-7","1.0E-7","0.02","dl_grid_model_10","0.09113299992965895"
