Party_favoured,Bot_Not,meanday,varday,sdday,freq
Democrats,Bot,367.3049988677536,9545.05205889049,97.69878227946595,0.07898530892175977
Democrats,GenuineAccount,4282.990149456522,3604333.061899086,1898.5081147835756,0.9210146910782402
notclear,Bot,606.5318444293479,38035.24894541277,195.0262775766711,0.13445388459879667
notclear,GenuineAccount,3904.5452898550725,1333325.0949249107,1154.6969710382507,0.8655461154012034
Republican,Bot,701.702049365942,14689.90638381244,121.20192401035736,0.04041263573065325
Republican,GenuineAccount,16661.729874320652,13185081.019898511,3631.126687393117,0.9595873642693469
