National,Bot_Not,meanday,varday,sdday,freq
0,Bot,107.46153846153847,6169.041420118343,78.54324554102881,0.04772954397273574
0,Genuine,2144.00641025641,3438282.4359796196,1854.2606170599697,0.9522704560272642
1,Bot,4876.134615384615,558339.9593195269,747.2214928115537,0.06550888039466697
1,Genuine,69558.57692307694,45612269.89644982,6753.685652771368,0.9344911196053332
